RegionName,State,2015,2016,2017,2018,2019
Cherokee County, GA,10755257,11588037,12227455,13028589,13702741
Cherry County, NE,342320,306907,256664,256870,265291
Chesapeake City, VA,11050023,11291045,11693971,12196879,12700597
Cheshire County, NH,3626295,3702893,3809453,3941834,4043195
Chester County, SC,997025,1007362,1054893,1092296,1135862
Chester County, PA,38999056,38981605,41067438,44068739,45966383
Chester County, TN,522276,536713,554429,580980,601927
Chesterfield County, SC,1290617,1321101,1367656,1431481,1472178
Chesterfield County, VA,16536584,17105523,17927605,18703417,19428723
Cheyenne County, CO,78389,69763,77266,80175,101050
Cheyenne County, KS,114237,113846,110729,125354,145844
Cheyenne County, NE,510763,492149,471894,461350,440011
Chickasaw County, IA,688926,676083,657432,707034,745611
Chickasaw County, MS,548501,560365,606038,610606,632708
Chicot County, AR,367077,385819,390426,392626,408655
Childress County, TX,194544,200994,213017,220068,224520
Chilton County, AL,1400117,1425578,1494017,1548034,1607766
Chippewa County, MI,1183522,1194297,1222154,1263683,1308476
Chippewa County, WI,2673120,2679425,2798854,2959015,3071676
Chippewa County, MN,544732,535993,564308,578387,604519
Chisago County, MN,2381276,2451421,2592397,2723728,2834238
Chittenden County, VT,9028363,9230032,9484932,9863707,10130810
Choctaw County, OK,458166,441294,443514,455700,474909
Choctaw County, AL,474269,473209,483967,499153,505385
Choctaw County, MS,252913,260635,263208,273710,287344
Chouteau County, MT,193834,185790,178958,228416,232792
Chowan County, NC,513651,523012,548144,570983,589982
Christian County, IL,1268121,1288487,1315860,1375363,1375385
Christian County, MO,3025583,3172406,3307364,3503624,3678141
Christian County, KY,2682099,2599124,2668091,2683116,2783520
Churchill County, NV,957762,964215,1028924,1087950,1126363
Cibola County, NM,730244,731870,736145,753950,783821
Cimarron County, OK,183158,148490,149471,143792,153296
Citrus County, FL,4990057,5152720,5382141,5615058,5844856
Clackamas County, OR,20368315,21842453,23016541,24730939,25812808
Claiborne Parish, LA,545469,510313,525262,541758,547722
Claiborne County, TN,1027137,1036758,1071255,1120112,1150382
Claiborne County, MS,264929,262792,269960,276969,283128
Clallam County, WA,3037285,3159651,3331829,3542882,3700741
Clare County, MI,950593,976800,1005650,1040265,1072017
Clarendon County, SC,1027765,1053432,1082207,1123535,1163349
Clarion County, PA,1480988,1484892,1526803,1587869,1625182
Clark County, NV,90217603,94001080,99914746,106317025,110628465
Clark County, ID,34501,33881,38952,38968,35171
Clark County, WA,21299993,22568489,24063587,26258042,27537295
Clark County, SD,173855,168195,158073,179771,172907
Clark County, IL,585530,603330,628464,650772,657683
Clark County, KS,108857,114563,110749,121128,128527
Clark County, KY,1332803,1346945,1387881,1412960,1465506
